Tehsil,Class,Pixel_Count,Pct (%),Min,Max,Mean
MIR ALI,Croplands,0,,,,
MIRAN SHAH,Croplands,0,,,,
RAZMAK,Croplands,0,,,,
SHEWA,Croplands,0,,,,
SPINWAM,Croplands,0,,,,
CENTRAL ORAKZAI,Croplands,1,100.0,14.0,14.0,14.0
ISMAILZAI,Croplands,0,,,,
LOWER ORAKZAI,Croplands,0,,,,
UPPER ORAKZAI,Croplands,0,,,,
BIRMAL,Croplands,0,,,,
LADHA,Croplands,0,,,,
MAKIN,Croplands,0,,,,
SARAOGHA,Croplands,0,,,,
SERWEKAI,Croplands,0,,,,
TIARZA,Croplands,0,,,,
TOI KHULLA,Croplands,0,,,,
WANA,Croplands,0,,,,
ABBOTTABAD,Croplands,896,100.0,14.0,14.0,14.0
HAVELIAN,Croplands,508,100.0,14.0,14.0,14.0
BANNU,Croplands,0,,,,
DOMEL,Croplands,0,,,,
ALAI,Croplands,145,100.0,14.0,14.0,14.0
BATAGRAM,Croplands,701,100.0,14.0,14.0,14.0
DAGGAR,Croplands,99,100.0,14.0,14.0,14.0
GAGRA,Croplands,344,100.0,14.0,14.0,14.0
KHADO KHEL,Croplands,184,100.0,14.0,14.0,14.0
CHARSADDA,Croplands,83,100.0,14.0,14.0,14.0
SHABQADAR,Croplands,5,100.0,14.0,14.0,14.0
TANGI,Croplands,232,100.0,14.0,14.0,14.0
CHITRAL,Croplands,0,,,,
MASTUJ,Croplands,0,,,,
D.I.KHAN,Croplands,1,100.0,14.0,14.0,14.0
DARABAN,Croplands,0,,,,
KULACHI,Croplands,0,,,,
PAHARPUR,Croplands,1,100.0,14.0,14.0,14.0
PAROA,Croplands,7,100.0,14.0,14.0,14.0
HANGU,Croplands,0,,,,
TALL,Croplands,0,,,,
GHAZI,Croplands,82,100.0,14.0,14.0,14.0
HARIPUR,Croplands,520,100.0,14.0,14.0,14.0
BANDA DAUD SHAH,Croplands,0,,,,
KARAK,Croplands,0,,,,
TAKHT E NASRATI,Croplands,0,,,,
KOHAT,Croplands,0,,,,
LACHI,Croplands,0,,,,
DASSU,Croplands,0,,,,
KANDIA,Croplands,0,,,,
PALAS,Croplands,2,100.0,14.0,14.0,14.0
PATTAN,Croplands,0,,,,
LAKKI MARWAT,Croplands,0,,,,
NAURANG,Croplands,0,,,,
ADENZAI,Croplands,6,100.0,14.0,14.0,14.0
LALQILLA,Croplands,53,100.0,14.0,14.0,14.0
MUNDA,Croplands,0,,,,
SAMARBAGH(BARWA),Croplands,24,100.0,14.0,14.0,14.0
TEMERGARA,Croplands,8,100.0,14.0,14.0,14.0
SAM RANIZAI,Croplands,61,100.0,14.0,14.0,14.0
SWAT RANIZAI,Croplands,0,,,,
BALAKOT,Croplands,11,100.0,14.0,14.0,14.0
MANSEHRA,Croplands,1171,100.0,14.0,14.0,14.0
OGHI,Croplands,598,100.0,14.0,14.0,14.0
KATLANG,Croplands,42,100.0,14.0,14.0,14.0
MARDAN,Croplands,165,100.0,14.0,14.0,14.0
TAKHT BHAI,Croplands,189,100.0,14.0,14.0,14.0
NOWSHERA,Croplands,0,,,,
PABBI,Croplands,0,,,,
ALPURI,Croplands,303,100.0,14.0,14.0,14.0
BISHAM,Croplands,92,100.0,14.0,14.0,14.0
CHIKSAR,Croplands,374,100.0,14.0,14.0,14.0
MARTUNG,Croplands,67,100.0,14.0,14.0,14.0
PURAN,Croplands,645,100.0,14.0,14.0,14.0
LAHOR,Croplands,4,100.0,14.0,14.0,14.0
RAZAR,Croplands,136,100.0,14.0,14.0,14.0
SWABI,Croplands,44,100.0,14.0,14.0,14.0
TOPI,Croplands,106,100.0,14.0,14.0,14.0
BABUZAI,Croplands,278,100.0,14.0,14.0,14.0
BAHRAIN,Croplands,9,100.0,14.0,14.0,14.0
BARIKOT,Croplands,4,100.0,14.0,14.0,14.0
CHARBAGH,Croplands,81,100.0,14.0,14.0,14.0
KABAL,Croplands,121,100.0,14.0,14.0,14.0
KHAWAZA KHELA,Croplands,369,100.0,14.0,14.0,14.0
MATTA,Croplands,515,100.0,14.0,14.0,14.0
TANK,Croplands,0,,,,
TORGHER,Croplands,62,100.0,14.0,14.0,14.0
DIR,Croplands,19,100.0,14.0,14.0,14.0
SHARINGAL,Croplands,0,,,,
WARI,Croplands,7,100.0,14.0,14.0,14.0
Peshawar I,Croplands,0,,,,
Peshawar II,Croplands,0,,,,
Peshawar III,Croplands,0,,,,
Peshawar IV,Croplands,9,100.0,14.0,14.0,14.0
Peshawar Cantonment,Croplands,0,,,,
