Tehsil,Other_pixel_count,Other_total_pixels,Other_pct (%),Other_min,Other_max,Other_mean,Forest_pixel_count,Forest_total_pixels,Forest_pct (%),Forest_min,Forest_max,Forest_mean,Grasslands_pixel_count,Grasslands_total_pixels,Grasslands_pct (%),Grasslands_min,Grasslands_max,Grasslands_mean,Croplands_pixel_count,Croplands_total_pixels,Croplands_pct (%),Croplands_min,Croplands_max,Croplands_mean
TAKHT BHAI,2076,2076,100.0,9.0,13.0,11.5448,0,0,,,,,4,4,100.0,10.0,10.0,10.0,189,189,100.0,14.0,14.0,14.0
NOWSHERA,4244,4244,100.0,7.0,16.0,10.8268,4,4,100.0,1.0,1.0,1.0,3249,3249,100.0,10.0,10.0,10.0,0,0,,,,
PABBI,1487,1487,100.0,7.0,16.0,10.9536,7,7,100.0,1.0,1.0,1.0,815,815,100.0,10.0,10.0,10.0,0,0,,,,
ALPURI,2121,2121,100.0,8.0,16.0,9.1188,226,226,100.0,1.0,5.0,4.3938,607,607,100.0,10.0,10.0,10.0,303,303,100.0,14.0,14.0,14.0
BISHAM,854,854,100.0,8.0,12.0,9.0667,21,21,100.0,1.0,5.0,4.619,85,85,100.0,10.0,10.0,10.0,92,92,100.0,14.0,14.0,14.0
CHIKSAR,910,910,100.0,8.0,12.0,9.4681,57,57,100.0,1.0,5.0,4.9298,21,21,100.0,10.0,10.0,10.0,374,374,100.0,14.0,14.0,14.0
MARTUNG,739,739,100.0,8.0,12.0,9.1976,14,14,100.0,1.0,5.0,4.4286,38,38,100.0,10.0,10.0,10.0,67,67,100.0,14.0,14.0,14.0
PURAN,647,647,100.0,8.0,12.0,10.0,65,65,100.0,1.0,5.0,4.8154,15,15,100.0,10.0,10.0,10.0,645,645,100.0,14.0,14.0,14.0
LAHOR,1425,1425,100.0,9.0,16.0,11.1775,0,0,,,,,334,334,100.0,10.0,10.0,10.0,4,4,100.0,14.0,14.0,14.0
RAZAR,2399,2399,100.0,8.0,13.0,11.5498,0,0,,,,,35,35,100.0,10.0,10.0,10.0,136,136,100.0,14.0,14.0,14.0
SWABI,1448,1448,100.0,9.0,13.0,11.605,0,0,,,,,45,45,100.0,10.0,10.0,10.0,44,44,100.0,14.0,14.0,14.0
TOPI,1979,1979,100.0,8.0,17.0,11.2309,22,22,100.0,1.0,5.0,2.2727,367,367,100.0,10.0,10.0,10.0,106,106,100.0,14.0,14.0,14.0
BABUZAI,1373,1373,100.0,8.0,13.0,10.2054,23,23,100.0,5.0,5.0,5.0,173,173,100.0,10.0,10.0,10.0,278,278,100.0,14.0,14.0,14.0
BAHRAIN,8397,8397,100.0,8.0,16.0,14.3204,421,421,100.0,1.0,5.0,1.1876,9393,9393,100.0,10.0,10.0,10.0,9,9,100.0,14.0,14.0,14.0
BARIKOT,1651,1651,100.0,8.0,13.0,9.9879,7,7,100.0,1.0,5.0,1.5714,322,322,100.0,10.0,10.0,10.0,4,4,100.0,14.0,14.0,14.0
CHARBAGH,605,605,100.0,8.0,13.0,10.3521,11,11,100.0,5.0,5.0,5.0,64,64,100.0,10.0,10.0,10.0,81,81,100.0,14.0,14.0,14.0
KABAL,1901,1901,100.0,6.0,13.0,10.7486,15,15,100.0,1.0,5.0,3.6667,266,266,100.0,10.0,10.0,10.0,121,121,100.0,14.0,14.0,14.0
KHAWAZA KHELA,1081,1081,100.0,8.0,13.0,10.7077,72,72,100.0,1.0,5.0,2.4028,100,100,100.0,10.0,10.0,10.0,369,369,100.0,14.0,14.0,14.0
MATTA,2590,2590,100.0,8.0,13.0,10.8525,40,40,100.0,1.0,5.0,2.325,722,722,100.0,10.0,10.0,10.0,515,515,100.0,14.0,14.0,14.0
TANK,8015,8015,100.0,7.0,16.0,8.3198,0,0,,,,,1210,1210,100.0,10.0,10.0,10.0,0,0,,,,
TORGHER,1905,1905,100.0,8.0,17.0,9.3769,197,197,100.0,1.0,5.0,3.1218,479,479,100.0,10.0,10.0,10.0,62,62,100.0,14.0,14.0,14.0
DIR,4064,4064,100.0,8.0,12.0,9.142,246,246,100.0,1.0,5.0,1.5528,2089,2089,100.0,10.0,10.0,10.0,19,19,100.0,14.0,14.0,14.0
SHARINGAL,4113,4113,100.0,8.0,16.0,11.0613,562,562,100.0,1.0,5.0,1.0356,6604,6604,100.0,10.0,10.0,10.0,0,0,,,,
WARI,1718,1718,100.0,7.0,12.0,9.1246,154,154,100.0,1.0,5.0,2.4091,894,894,100.0,10.0,10.0,10.0,7,7,100.0,14.0,14.0,14.0
Peshawar I,139,139,100.0,13.0,13.0,13.0,0,0,,,,,0,0,,,,,0,0,,,,
Peshawar II,2251,2251,100.0,7.0,13.0,12.2728,0,0,,,,,74,74,100.0,10.0,10.0,10.0,0,0,,,,
Peshawar III,857,857,100.0,9.0,16.0,12.6628,0,0,,,,,50,50,100.0,10.0,10.0,10.0,0,0,,,,
Peshawar IV,3039,3039,100.0,7.0,13.0,10.4294,0,0,,,,,561,561,100.0,10.0,10.0,10.0,9,9,100.0,14.0,14.0,14.0
Peshawar Cantonment,85,85,100.0,13.0,13.0,13.0,0,0,,,,,0,0,,,,,0,0,,,,
